City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,eyl,7.9803,49.8164,303.43,72,51,5.4,SO,1683044965
225,verkhnevilyuysk,63.4453,120.3167,270.59,93,100,1.66,RU,1683044965
226,piti village,13.4626,144.6933,300.64,83,0,3.6,GU,1683044965
227,zhangjiakou,40.81,114.8794,292.43,43,21,4.12,CN,1683044966
228,brookings,44.3114,-96.7984,284.51,41,0,10.29,US,1683044843
229,aripuana,-9.1667,-60.6333,304.71,56,95,1.22,BR,1683044966
230,lhasa,29.65,91.1,281.02,64,98,0.75,CN,1683044967
231,aioun,16.6614,-9.6149,315.43,5,13,1.95,MR,1683044967
232,xining,36.6167,101.7667,286.0,42,96,0.09,CN,1683044968
233,malango,-2.9627,119.9001,293.72,99,100,0.59,ID,1683044968
234,remire-montjoly,4.9167,-52.2667,303.17,66,75,6.17,GF,1683044968
235,rafsanjan,30.4067,55.9939,299.82,10,7,3.71,IR,1683044969
236,forster,-32.1667,152.5167,287.84,76,1,3.63,AU,1683044969
237,yaren,-0.5472,166.916,301.47,78,100,3.88,NR,1683044970
238,levuka,50.1834,-105.4011,289.99,25,75,8.23,CA,1683044970
239,chateauroux,46.8167,1.7,292.15,52,0,4.63,FR,1683044970
240,sola,-13.8833,167.55,301.19,78,27,8.83,VU,1683044970
241,kashmar,35.2383,58.4656,299.13,21,20,0.0,IR,1683044971
242,klyuchi,52.2667,79.1667,277.04,49,71,2.67,RU,1683044971
243,prineville,44.2999,-120.8345,284.83,87,100,2.57,US,1683044971
244,whitehorse,60.7161,-135.0538,282.58,57,75,7.72,CA,1683044811
245,oriximina,-1.7656,-55.8661,299.99,81,97,1.62,BR,1683044748
246,cody,44.5263,-109.0565,292.92,32,0,1.79,US,1683044972
247,blankenburg,51.7833,10.95,284.31,57,80,4.55,DE,1683044972
248,roma,43.2128,-75.4557,283.55,70,100,2.06,US,1683044973
249,labytnangi,66.6572,66.4183,275.59,99,100,6.87,RU,1683044785
250,ceeldheer,3.8488,47.1806,302.22,73,100,8.51,SO,1683044973
251,teshi old town,5.5836,-0.1072,303.46,70,40,5.14,GH,1683044974
252,cidra,18.1758,-66.1613,303.62,69,28,2.24,PR,1683044974
253,mount isa,-20.7333,139.5,291.02,32,4,8.75,AU,1683044974
254,aykhal,66.0,111.5,259.26,100,33,2.2,RU,1683044974
255,berdigestyakh,62.0989,126.6992,273.15,98,100,3.51,RU,1683044975
256,coquimbo,-29.9533,-71.3436,289.0,77,0,5.14,CL,1683044794
257,ribadavia,42.288,-8.1436,302.46,30,100,1.45,ES,1683044975
